epoch,strategy,arm,current reward,cumulative reward,optimal
233,Explore,1,7.208869824422396,1515.6818124468916,False
234,Explore,3,12.949913818923037,1528.6317262658147,False
235,Explore,7,0.9898870704732774,1529.621613336288,False
236,Explore,2,6.247450085957781,1535.8690634222457,False
237,Explore,11,1.135341083880347,1537.004404506126,False
238,Explore,6,11.169104396159678,1548.1735089022857,False
239,Explore,9,7.602745262524893,1555.7762541648106,False
240,Explore,3,10.575215384813262,1566.3514695496237,False
241,Explore,7,2.011925743123843,1568.3633952927476,False
242,Explore,3,11.555663968026984,1579.9190592607745,False
243,Explore,1,8.422921490175248,1588.3419807509497,False
244,Explore,2,6.010427906685163,1594.352408657635,False
245,Explore,8,1.2927336140390575,1595.6451422716739,False
246,Explore,6,7.949545504516574,1603.5946877761905,False
247,Explore,5,11.160051705061585,1614.754739481252,False
248,Explore,3,11.832704489774912,1626.587443971027,False
249,Explore,3,12.933215583879546,1639.5206595549064,False
250,Explore,10,11.599246510154165,1651.1199060650606,True
251,Explore,3,11.549475227227168,1662.6693812922879,False
252,Explore,3,10.383783630926986,1673.0531649232148,False
253,Explore,0,8.324217201320248,1681.377382124535,False
254,Explore,2,5.910785931357256,1687.2881680558921,False
255,Explore,2,6.700660773000102,1693.9888288288923,False
256,Explore,7,4.1365730540081564,1698.1254018829004,False
257,Explore,3,10.888107251961886,1709.0135091348623,False
258,Explore,6,11.249600468572686,1720.263109603435,False
259,Explore,3,11.24356091293269,1731.5066705163676,False
260,Explore,1,6.3129186372085595,1737.8195891535763,False
261,Explore,4,10.30274599668655,1748.1223351502629,False
262,Explore,11,1.3210764111379656,1749.4434115614008,False
263,Explore,2,6.102463301209055,1755.54587486261,False
264,Explore,3,9.507161316659051,1765.053036179269,False
265,Explore,1,6.767239690981382,1771.8202758702503,False
266,Explore,11,-0.524111878094993,1771.2961639921552,False
267,Explore,3,10.655667035311314,1781.9518310274666,False
268,Explore,4,9.394566707399962,1791.3463977348665,False
269,Explore,11,-1.1703459349358214,1790.1760517999307,False
270,Explore,6,9.354300723219279,1799.53035252315,False
271,Explore,7,4.1956380921522936,1803.7259906153022,False
272,Explore,2,5.481398435314545,1809.2073890506167,False
273,Explore,0,9.37900622743263,1818.5863952780494,False
274,Explore,5,7.62858165779897,1826.2149769358484,False
275,Explore,1,5.221486115664874,1831.4364630515133,False
276,Explore,0,9.649066265306736,1841.0855293168202,False
277,Explore,2,7.472579614115967,1848.5581089309362,False
278,Explore,11,-0.9820343283749936,1847.5760746025612,False
279,Explore,6,10.728830233362512,1858.3049048359237,False
280,Explore,11,0.4912056778166707,1858.7961105137404,False
281,Explore,2,8.56573638175855,1867.361846895499,False
282,Explore,3,10.46083179186482,1877.8226786873638,False
283,Explore,1,7.498732923415799,1885.3214116107797,False
284,Explore,7,5.209597234483789,1890.5310088452634,False
285,Explore,10,11.912200686516623,1902.44320953178,True
286,Explore,6,7.9458526031550765,1910.389062134935,False
287,Explore,8,2.990965923908304,1913.3800280588434,False
288,Explore,5,9.84184348989107,1923.2218715487345,False
289,Explore,4,9.697060750563146,1932.9189322992977,False
290,Explore,4,10.167325194950987,1943.0862574942487,False
291,Explore,1,8.13931927035998,1951.2255767646086,False
292,Explore,3,11.5519004686102,1962.7774772332189,False
293,Explore,6,10.585640418959427,1973.3631176521783,False
294,Explore,7,3.261596037661834,1976.62471368984,False
295,Explore,4,8.747058182694616,1985.3717718725347,False
296,Explore,1,7.794727890070934,1993.1664997626058,False
297,Explore,11,1.2294934442545915,1994.3959932068603,False
298,Explore,0,7.986299471895382,2002.3822926787557,False
299,Explore,4,8.396993570083442,2010.779286248839,False
300,Explore,8,2.181825526837581,2012.9611117756767,False
301,Explore,7,1.8841797294113574,2014.845291505088,False
302,Explore,11,-0.25332856949234306,2014.5919629355956,False
303,Explore,5,8.094802584204759,2022.6867655198002,False
304,Explore,10,11.17741128998688,2033.864176809787,True
305,Explore,4,9.042102421181866,2042.906279230969,False
306,Explore,2,4.12264083422053,2047.0289200651894,False
307,Explore,5,10.083163445613748,2057.112083510803,False
308,Explore,6,8.903128550052134,2066.0152120608554,False
309,Explore,1,6.8810986478217595,2072.896310708677,False
